"N"	"gene"	"beta"	"pval"	"varexp"
"gene100001"	1	"0610005C13Rik"	0.219686162624822	1	0
"gene100002"	2	"0610006L08Rik"	-0.0860675225867809	1	0
"gene100003"	3	"0610009B22Rik"	1.86977267710758	0.813760460847234	0.0296584752197829
"gene100004"	4	"0610009E02Rik"	-0.364717070851165	1	0
"gene100005"	5	"0610009L18Rik"	-0.859248692344272	1	0
"gene100006"	6	"0610010F05Rik"	-3.34552744312986	0.00137663602912716	0.616310213266799
"gene100007"	7	"0610010K14Rik"	-3.592688079923	0.737624195771839	0.065562449390383
"gene100008"	8	"0610012D04Rik"	-1.2428929637274	3.12754325664359e-09	0.869373201384594
"gene100009"	9	"0610012G03Rik"	-6.44438705870493	0.0280961380558309	0.311498556282677
"gene100010"	10	"0610025J13Rik"	0.0898716119828816	1	0
"gene100011"	11	"0610030E20Rik"	-31.3987471969869	0.00196904019531781	0.480035925428741
"gene100012"	12	"0610031O16Rik"	-0.276206027744746	0.70940375209339	0.066179191008433
"gene100013"	13	"0610033M10Rik"	0.00285306704707565	1	0
"gene100014"	14	"0610038B21Rik"	-4.62955100779415	0.000631738519185573	0.762841077579325
"gene100015"	15	"0610039K10Rik"	0.599144079885877	1	0
"gene100016"	16	"0610040B10Rik"	NA	NA	NA
"gene100017"	17	"0610040F04Rik"	-0.0738104746794437	0.0101164956314034	0.458180393375708
"gene100018"	18	"0610040J01Rik"	0.226348013644806	0.814872935810293	0.035058482528567
"gene100019"	19	"0610043K17Rik"	-0.382780363501976	0.0115746581352984	0.663430736049236
"gene100020"	20	"0710001A04Rik"	-0.00767572596806228	0.766606306660483	0.0417397451943577
"gene100021"	21	"1010001B22Rik"	-0.0328102710413695	1	0
"gene100022"	22	"1100001I12Rik"	-0.135520684736091	1	0
"gene100023"	23	"1110002E22Rik"	-0.0551592962434617	1	0
"gene100024"	24	"1110002J07Rik"	-0.126961483594865	1	0
"gene100025"	25	"1110002L01Rik"	-2.94764008814036	0.211259699775517	0.25959609065689
"gene100026"	26	"1110002O04Rik"	-0.10413694721826	1	0
"gene100027"	27	"1110003F10Rik"	-0.910316044136076	0.319932363659706	0.245759749083955
"gene100028"	28	"1110004F10Rik"	-8.90201222249638	0.357229609540668	0.138690662558072
"gene100029"	29	"1110006O24Rik"	-0.630873110717709	0.137562760254189	0.417972337422759
"gene100030"	30	"1110008E08Rik"	-0.00951022349025206	1	0
"gene100031"	31	"1110008P14Rik"	-7.15865182731779	0.00491478517102563	0.475915417280423
"gene100032"	32	"1110012L19Rik"	NA	NA	NA
"gene100033"	33	"1110013H19Rik"	-0.433666191155492	1	0
"gene100034"	34	"1110015O18Rik"	0.00384719321918984	0.0817131848590307	0.344020050991718
"gene100035"	35	"1110017D15Rik"	0.0813124108416548	1	1.43394298210081e-16
"gene100036"	36	"1110018N20Rik"	0.0037426356939494	0.565311300774762	0.106646685249353
"gene100037"	37	"1110019B22Rik"	0.0180694246314788	1	0
"gene100038"	38	"1110019D14Rik"	0.428911079410366	1	4.56982696771367e-20
"gene100039"	39	"1110020A21Rik"	-0.463263545574938	0.956794018126303	0.00796384101797571
"gene100041"	40	"1110025M09Rik"	-0.278231295236259	0.133769766771083	0.25485766931715
"gene100042"	41	"1110028F11Rik"	0.649156694287968	0.13825766118963	0.342628915636016
"gene100043"	42	"1110028F18Rik"	0.0813124108416548	1	0
"gene100044"	43	"1110032A03Rik"	2.89776509747979	0.999999809769497	0
"gene100045"	44	"1110032F04Rik"	-3.07440098960367	0.00274933347173579	0.553717338315809
"gene100046"	45	"1110035H17Rik"	-0.17665334163934	0.609704749463979	0.0699669145190814
"gene100047"	46	"1110038B12Rik"	3.57985007350142	0.1157617730413	0.307824216049727
"gene100048"	47	"1110038F14Rik"	-7.56777292355455	0.0582753762598255	0.33935039508406
"gene100049"	48	"1110046J04Rik"	NA	NA	NA
"gene100050"	49	"1110051M20Rik"	-1.68317608222817	0.343284142517081	0.160865282244182
"gene100051"	50	"1110057P08Rik"	0.0356633380884451	1	0
"gene100052"	51	"1110059E24Rik"	-0.21447929119372	0.410683179360018	0.119134240543606
"gene100053"	52	"1110059G10Rik"	-3.29511634134187	0.193907757460578	0.192270262388537
"gene100054"	53	"1110060G06Rik"	-0.00100073784524251	0.501027723999439	0.119068436007291
"gene100055"	54	"1110065P20Rik"	-0.592486923442702	1	0
"gene100056"	55	"1190001M18Rik"	0.0160872754656675	0.779097345738167	0.0493581536971145
"gene100057"	56	"1190005I06Rik"	0.0675586558304085	0.226720788347184	0.192615875823523
"gene100058"	57	"1190007I07Rik"	-1.87461797330979	0.0192569840515743	0.41300405728058
"gene100059"	58	"1190028D05Rik"	-0.0227612924245926	0.741328150362633	0.0576655039044893
"gene100060"	59	"1200007C13Rik"	0.131548697293885	0.235483878819787	0.21920099897837
"gene100061"	60	"1300002E11Rik"	-13.0594629695448	0.149113900330307	0.21579062787974
"gene100062"	61	"1300014J16Rik"	-2.36966735603047	0.216265574869862	0.229576734832383
