"N"	"gene"	"beta"	"pval"	"varexp"
"gene100001"	1	"0610005C13Rik"	-0.293627159023228	1	0
"gene100002"	2	"0610006L08Rik"	-0.0765336509827278	1	0
"gene100003"	3	"0610009B22Rik"	0.0313012626005218	0.34455459865399	0.124228898526995
"gene100004"	4	"0610009E02Rik"	0.0677074071894492	0.484939088137108	0.113869560328278
"gene100005"	5	"0610009L18Rik"	-0.656343061346039	1	9.09151169871958e-20
"gene100006"	6	"0610010F05Rik"	13.1888896521461	0.000361078246832221	0.541510725669714
"gene100007"	7	"0610010K14Rik"	0.45417676520949	0.00210700625660886	0.516655575844145
"gene100008"	8	"0610012D04Rik"	0.575613711693382	2.12658924373775e-07	0.822947230806882
"gene100009"	9	"0610012G03Rik"	12.5030893153784	0.0746440517380537	0.264741771306079
"gene100010"	10	"0610025J13Rik"	-0.0182588479853232	0.296280711814625	0.138619460206598
"gene100011"	11	"0610030E20Rik"	31.9393392357638	3.28777052147113e-05	0.655889190928262
"gene100012"	12	"0610031O16Rik"	-0.211880505064351	0.386158843795174	0.117965697427599
"gene100013"	13	"0610033M10Rik"	0.00357355568790952	1	0
"gene100014"	14	"0610038B21Rik"	4.84579111847107	0.00250683052500903	0.737257728851483
"gene100015"	15	"0610039K10Rik"	0.00771263300939054	0.0271283608528225	0.347866542507058
"gene100016"	16	"0610040B10Rik"	-0.156640857653365	0.999999809769497	0
"gene100017"	17	"0610040F04Rik"	0.271882655906347	0.944128197198938	0.0106984124215695
"gene100018"	18	"0610040J01Rik"	0.0674191983289833	0.479865407401267	0.116196815958561
"gene100019"	19	"0610043K17Rik"	0.455826351445606	0.00561227118117597	0.705464895192826
"gene100020"	20	"0710001A04Rik"	0.0131030375223347	1	0
"gene100021"	21	"1010001B22Rik"	-0.0766990041024876	0.984758830110879	0.00266745991261521
"gene100022"	22	"1100001I12Rik"	-0.00104877928146493	0.60088834660806	0.0826536999401889
"gene100023"	23	"1110002E22Rik"	-0.137581893984514	1	0
"gene100024"	24	"1110002J07Rik"	0.0687909469922573	1	0
"gene100025"	25	"1110002L01Rik"	0.325822107183781	0.00140371361759905	0.564022013151184
"gene100026"	26	"1110002O04Rik"	-0.0753424657534246	1	0
"gene100027"	27	"1110003F10Rik"	-0.0557836969768242	0.0419729783356369	0.450063932925023
"gene100028"	28	"1110004F10Rik"	9.59213541033153	0.433835070991681	0.120576617226603
"gene100029"	29	"1110006O24Rik"	0.101570980320915	0.000284700441012556	0.548438318528211
"gene100030"	30	"1110008E08Rik"	-0.0431804645622394	1	0
"gene100031"	31	"1110008P14Rik"	10.4956855720688	0.0107466649836852	0.457648047125951
"gene100032"	32	"1110012L19Rik"	4.52322811197142	1	0
"gene100033"	33	"1110013H19Rik"	-0.212509657547508	0.804034557496992	0.0302128941229446
"gene100034"	34	"1110015O18Rik"	0.095361556543057	0.487797221616502	0.121458228732041
"gene100035"	35	"1110017D15Rik"	0.0765336509827278	1	0
"gene100036"	36	"1110018N20Rik"	-0.034864639503032	0.434208485626763	0.106426546720975
"gene100037"	37	"1110019B22Rik"	0.0300774270399047	1	0
"gene100038"	38	"1110019D14Rik"	-0.110544601424636	0.873978564071804	0.0194602827725037
"gene100039"	39	"1110020A21Rik"	-0.543478260869565	0.999999865486721	0
"gene100041"	40	"1110025M09Rik"	0.208823156382785	0.125639181717813	0.250101057288881
"gene100042"	41	"1110028F11Rik"	0.369152517950294	0.000808144636846404	0.552630392337146
"gene100043"	42	"1110028F18Rik"	-0.0488778849051903	0.6327389234186	0.0619372380879589
"gene100044"	43	"1110032A03Rik"	0.0906643870785986	0.58895471249176	0.0688318490233395
"gene100045"	44	"1110032F04Rik"	-2.8735455991417	0.000167190290221259	0.575631849372931
"gene100046"	45	"1110035H17Rik"	-0.0105920659697628	0.644635986062109	0.0670918079156718
"gene100047"	46	"1110038B12Rik"	-5.39821732738368	0.0553989190489174	0.305325843235927
"gene100048"	47	"1110038F14Rik"	12.8269548180922	0.0637942930748799	0.390496199213076
"gene100049"	48	"1110046J04Rik"	-0.176576375925507	0.340183071620219	0.132868298169416
"gene100050"	49	"1110051M20Rik"	-5.06194163192376	1	0
"gene100051"	50	"1110057P08Rik"	0.0119118522930316	1	2.38328962756491e-20
"gene100052"	51	"1110059E24Rik"	-0.365945525431358	0.434608391101404	0.11587832697518
"gene100053"	52	"1110059G10Rik"	5.3390133211047	0.565216290094416	0.0726199851918862
"gene100054"	53	"1110060G06Rik"	0.0879324615279799	0.987153165850702	0.00233560497144254
"gene100055"	54	"1110065P20Rik"	0.0768314472900538	0.999999865486721	0
"gene100056"	55	"1190001M18Rik"	0.156343061346039	1	0
"gene100057"	56	"1190005I06Rik"	-0.0909149944067139	0.193755074103089	0.31220030374534
"gene100058"	57	"1190007I07Rik"	1.19684945272147	0.0108719814536645	0.466296210448348
"gene100059"	58	"1190028D05Rik"	0.034719307397723	0.817220804836344	0.0346681228848719
"gene100060"	59	"1200007C13Rik"	0.216200119118523	1	0
"gene100061"	60	"1300002E11Rik"	9.8628054090951	0.033608769558869	0.370354630112709
"gene100062"	61	"1300014J16Rik"	1.14056019714758	0.0142516878350915	0.382277188524674
"gene100063"	62	"1300017J02Rik"	0.022959500192292	0.429708687894307	0.138265891512906
"gene100064"	63	"1500002C15Rik"	1.23936485599809	0.0212219223380087	0.361268890263741
"gene100065"	64	"1500002F19Rik"	0.085113963920744	0.044177660975422	0.595543639226948
"gene100066"	65	"1500004A13Rik"	3.39714691262089	4.41885682500086e-05	0.688125337653548
"gene100067"	66	"1500005C15Rik"	-0.00351822068631393	0.760968450551011	0.0427166100887505
"gene100068"	67	"1500009C09Rik"	-0.0190842438730912	0.998162087172768	0.000297267241212699
"gene100069"	68	"1500009L16Rik"	-7.39680885657505	0.000977034017009699	0.918511294306721
"gene100070"	69	"1500011B03Rik"	54.6525176734704	1.67972694688025e-06	0.907692409577791
"gene100071"	70	"1500012K07Rik"	-0.364903209473918	0.405090374753673	0.108841342619628
"gene100072"	71	"1500015A07Rik"	-0.679665304914123	0.00332964642661225	0.456546777997183
"gene100073"	72	"1500015L24Rik"	0.0285884455032758	1	0
"gene100074"	73	"1500026H17Rik"	0.0271785078264473	0.263295599428004	0.156327983939565
"gene100075"	74	"1500032F14Rik"	0.0083382966051221	1	0
"gene100076"	75	"1500035N22Rik"	-0.282747079270507	0.1146947129287	0.223481872302188
"gene100077"	76	"1520401A03Rik"	-0.00295385253547674	0.634157507342496	0.11196849234113
"gene100078"	77	"1600002D24Rik"	-0.0154622000482235	0.852352869355996	0.0260811410816684
"gene100079"	78	"1600010M07Rik"	0.061513253838355	0.177278632834389	0.197792857435622
"gene100080"	79	"1600012H06Rik"	24.299972218707	0.000193007538337033	0.564718762406288
"gene100081"	80	"1600012P17Rik"	0.0104535405165612	0.580774692281161	0.0778707505571204
