innateness_score	category	cell	cell_type
7189854.391582997	cell_types	ILC2.SI.1	ILC2.SI
2878906.416037283	cell_types	ILC2.SI.2	ILC2.SI
13595720.330830105	cell_types	ILC2.ST2..SI.1	ILC2.SI
5968986.67403572	cell_types	ILC2.ST2..SI.2	ILC2.SI
15102656.97150244	cell_types	ILC3.CCR6..SI.1	ILC3.SI
3717917.4417838333	cell_types	ILC3.CCR6..SI.2	ILC3.SI
54925108.54802641	cell_types	ILC3.NKp46..SI.1	ILC3.SI
29260705.005358092	cell_types	ILC3.NKp46..SI.2	ILC3.SI
14758749.684265386	cell_types	ILC3.NKp46.CCR6..SI.2	ILC3.SI
337289185.49552196	cell_types	NK.27.11b..Sp.1	NK.Sp
139762461.01089966	cell_types	NK.27.11b..Sp.2	NK.Sp
291749636.3248707	cell_types	NK.27.11b..Sp.1.1	NK.Sp
270173447.9385536	cell_types	NK.27.11b..Sp.2.1	NK.Sp
291926030.0763221	cell_types	NK.27.11b..Sp.2.2	NK.Sp
86626487.5927307	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lu.1	NKT.Lu
81463989.8107523	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lu.2	NKT.Lu
88311001.12144461	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Sp.1	NKT.Sp
77001762.50428173	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Sp.2	NKT.Sp
67179503.95522773	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Sp.3	NKT.Sp
108814869.49223308	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lv.1	NKT.Lv
130976533.17877962	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lv.2	NKT.Lv
124263862.57863888	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lv.3	NKT.Lv
6300358.468241943	cell_types	T.4.Nve.Fem.Sp.1	CD4.Sp
3604993.38761942	cell_types	T.4.Nve.Fem.Sp.2	CD4.Sp
5573043.404102268	cell_types	T.4.Nve.Sp.1	CD4.Sp
2938879.1581176464	cell_types	T.4.Nve.Sp.2	CD4.Sp
16984202.155681178	cell_types	T.8.Nve.Sp.1	CD8.Sp
10308832.79865456	cell_types	T.8.Nve.Sp.2	CD8.Sp
59819537.73775732	cell_types	Tgd.Sp.3	Tgd.Sp
28859877.1407601	cell_types	Tgd.Sp.4	Tgd.Sp
